                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0526,                  2.145,                 1.1526,                 0.1642,                0.17647,                0.12027,                0.07622,                 1.5365,                 6.0061,                 1.9522,                  0.082,                  0.002,                  0.002
                      2,                 1.0543,                 1.2198,                 1.1588,                0.02288,                0.41176,                0.02062,                0.00522,                 2.8857,                 157.17,                 13.952,                0.06309,              0.0040899,              0.0040899
                      3,                 1.0467,                 1.0661,                 1.1698,                0.00312,                0.29412,                 0.0035,                 0.0004,                 3.1151,                    inf,                 18.271,               0.044169,              0.0061693,              0.0061693
                      4,                  1.031,                0.94387,                 1.1543,                0.00269,                0.47059,                0.00194,                0.00088,                 2.8595,                  593.3,                 5.1641,               0.025238,              0.0082384,              0.0082384
                      5,                0.97941,                0.83256,                 1.1319,                0.00269,                0.47059,                0.00194,                0.00088,                 2.7169,                 14.251,                 3.9832,               0.009901,               0.009901,               0.009901
                      6,                0.98035,                0.80244,                 1.1062,                0.50164,                0.64706,                0.50718,                0.29639,                 1.3322,                 3.0945,                 1.5918,               0.009901,               0.009901,               0.009901
                      7,                0.93329,                0.78015,                 1.0929,                0.69172,                0.88235,                 0.8354,                0.62562,                  1.119,                 6.0016,                 1.3078,              0.0098763,              0.0098763,              0.0098763
                      8,                0.95402,                0.75732,                 1.0905,                0.92821,                0.76085,                 0.8702,                0.66913,                 1.0743,                 11.611,                 1.3145,              0.0098515,              0.0098515,              0.0098515
                      9,                0.94647,                0.79524,                 1.1127,                0.04771,                0.88235,                0.12038,                0.09177,                0.99557,                 11.514,                 1.2325,              0.0098268,              0.0098268,              0.0098268
                     10,                0.86918,                0.69597,                 1.0625,                      1,                0.70084,                0.89715,                0.69396,                0.86748,                 1.4707,                 1.1477,               0.009802,               0.009802,               0.009802
                     11,                 0.8667,                0.67793,                  1.064,                0.99677,                0.76471,                0.87946,                 0.7151,                 0.7692,                 1.1666,                 1.0885,              0.0097773,              0.0097773,              0.0097773
                     12,                0.89567,                0.68054,                 1.0876,                0.73148,                      1,                0.93115,                0.74086,                0.75952,                0.94224,                0.99072,              0.0097525,              0.0097525,              0.0097525
                     13,                0.91461,                0.66483,                 1.0734,                 0.9302,                0.94118,                0.98011,                0.79827,                0.77644,                0.93638,                0.98065,              0.0097278,              0.0097278,              0.0097278
                     14,                0.85465,                 0.6353,                  1.072,                0.98961,                0.94118,                0.95681,                   0.81,                0.70269,                 0.6707,                0.96338,               0.009703,               0.009703,               0.009703
                     15,                0.81872,                0.60724,                 1.0326,                0.98512,                0.94118,                0.95941,                0.79773,                0.69496,                0.72072,                0.97441,              0.0096783,              0.0096783,              0.0096783
                     16,                0.81937,                0.59498,                 1.0457,                      1,                0.99913,                  0.995,                0.85015,                0.69013,                0.58691,                0.96604,              0.0096535,              0.0096535,              0.0096535
                     17,                0.80118,                0.57619,                 1.0216,                0.99248,                0.94118,                0.99222,                0.83463,                0.71799,                0.58997,                 0.9581,              0.0096288,              0.0096288,              0.0096288
                     18,                0.77311,                0.58223,                 1.0217,                0.99985,                      1,                  0.995,                0.81921,                0.66493,                 0.6613,                 0.9168,               0.009604,               0.009604,               0.009604
                     19,                0.76289,                0.56311,                 1.0073,                      1,                0.97898,                  0.995,                0.86009,                0.65355,                0.62218,                0.93892,              0.0095793,              0.0095793,              0.0095793
                     20,                0.77417,                0.55585,                 1.0209,                      1,                0.99262,                  0.995,                0.84506,                0.70772,                0.51569,                0.96439,              0.0095545,              0.0095545,              0.0095545
                     21,                 0.7665,                0.55042,                0.99468,                0.99396,                      1,                  0.995,                 0.8031,                0.67702,                0.49671,                0.97276,              0.0095298,              0.0095298,              0.0095298
                     22,                0.74761,                0.53492,                 1.0061,                0.97841,                      1,                  0.995,                0.83292,                0.71707,                0.50127,                0.97392,               0.009505,               0.009505,               0.009505
