do you have any preference in terms of roast level,are you lactose intolerant,do you prefer sugar or stevia in your coffee,how many percentages of milk do you like in your coffee,which one do you prefer more,what do you prefer most in your coffee,do you like your coffee to be made by stepping coffee grounds in water over a certain period of time,which of the following coffee do you like most
dark,no,sugar,20%,short and strong,none of the above,no,cortado
light,no,stevia,0%,long and mild,none of the above,no,americano
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
light,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
light,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
dark,no,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
dark,yes,sugar,20%,short and strong,none of the above,no,cortado
medium,no,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,stevia,below 50%,long and mild,none of the above,no,cappuccino
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,yes,sugar,0%,short and strong,none of the above,no,cold espresso
light,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
dark,no,stevia,50%,short and strong,none of the above,yes,cold brew
dark,yes,sugar,20%,short and strong,whiskey,no,irish coffee
medium,no,i do not use sugar in my coffee,below 50%,long and mild,none of the above,no,cappuccino
light,yes,stevia,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
dark,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
dark,no,sugar,20%,short and strong,none of the above,no,americano
medium,no,stevia,0%,long and mild,none of the above,no,cappuccino
