                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3573,                  19.26,                 2.4359,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  0.082,                  0.002,                  0.002
                      2,                  2.773,                 3.6262,                 2.9545,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.06309,              0.0040899,              0.0040899
                      3,                 2.4487,                 3.0053,                 2.9585,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.044169,              0.0061693,              0.0061693
                      4,                 2.3391,                 2.6434,                  2.925,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.025238,              0.0082384,              0.0082384
                      5,                 2.2912,                 2.6848,                 2.8687,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      6,                 2.1067,                 2.3076,                 2.7832,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098763,              0.0098763,              0.0098763
                      7,                 2.1236,                 2.3222,                 2.7677,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.9937,                 2.1989,                   2.65,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.8681,                 2.0026,                 2.5798,                0.02712,                0.23529,                0.01646,                0.00315,                  3.257,                    nan,                 4.3674,               0.009802,               0.009802,               0.009802
                     10,                 1.8588,                 1.9907,                 2.5412,                0.00049,                0.05882,                0.00018,                  2e-05,                 5.3971,                    inf,                 12.244,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.8571,                 1.9157,                 2.5245,                0.00185,                0.23529,                0.00148,                0.00039,                 2.9962,                  344.4,                 4.5279,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.8031,                 1.8917,                 2.4541,                0.90649,                0.57139,                0.62186,                0.29155,                 1.7736,                 12.002,                  2.734,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.7283,                  1.787,                 2.3713,                0.01365,                0.11765,                0.00911,                 0.0031,                 2.2038,                 15.594,                  3.279,               0.009703,               0.009703,               0.009703
                     14,                 1.6843,                    1.7,                 2.3512,                0.45869,                0.52941,                0.50526,                0.19804,                 1.9568,                 6.3479,                 2.7084,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.6702,                 1.6663,                 2.2825,                0.00459,                0.11765,                0.00485,                0.00118,                 2.8968,                 75.769,                 3.8678,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.6444,                 1.6185,                 2.2456,                0.69561,                0.88235,                0.85924,                0.57316,                  1.288,                 3.3935,                 2.1187,              0.0096288,              0.0096288,              0.0096288
                     17,                 1.6152,                 1.5639,                 2.2859,                0.92678,                0.74555,                0.82513,                 0.5447,                 1.4093,                 1.8156,                 2.1654,               0.009604,               0.009604,               0.009604
                     18,                 1.6037,                 1.5933,                 2.2783,                0.96995,                0.76471,                0.89004,                 0.5603,                 1.2918,                 2.4662,                 2.0461,              0.0095793,              0.0095793,              0.0095793
                     19,                 1.5372,                  1.452,                 2.2208,                0.04243,                0.11765,                 0.0316,                0.01205,                   2.05,                 10.714,                 2.8727,              0.0095545,              0.0095545,              0.0095545
                     20,                 1.5631,                  1.508,                 2.1982,                0.98861,                0.94118,                0.96018,                0.56323,                 1.4607,                  2.413,                 2.2405,              0.0095298,              0.0095298,              0.0095298
                     21,                 1.4773,                 1.4695,                 2.1034,                0.98228,                0.88235,                 0.9389,                0.55307,                 1.4749,                 2.4963,                 2.1845,               0.009505,               0.009505,               0.009505
                     22,                 1.4898,                 1.4066,                 2.1416,                 0.6357,                0.88235,                0.77366,                0.50749,                  1.301,                 4.9321,                 2.0447,              0.0094803,              0.0094803,              0.0094803
                     23,                 1.4113,                 1.3579,                  2.087,                0.87737,                0.84246,                0.91928,                0.62545,                 1.2572,                 2.1558,                 2.0309,              0.0094555,              0.0094555,              0.0094555
                     24,                 1.3055,                 1.2362,                 1.9948,                      1,                0.93154,                0.94538,                0.63722,                  1.231,                0.94876,                 1.9739,              0.0094307,              0.0094307,              0.0094307
                     25,                 1.3735,                 1.2298,                 2.0537,                0.98725,                0.88235,                0.96953,                0.57495,                 1.3293,                 1.0364,                 2.1135,               0.009406,               0.009406,               0.009406
                     26,                  1.283,                 1.1994,                 1.9434,                0.87805,                0.94118,                0.93339,                 0.6511,                 1.2489,                  1.097,                 2.0966,              0.0093813,              0.0093813,              0.0093813
                     27,                 1.2433,                 1.1328,                 1.8946,                0.65843,                0.29412,                0.34299,                0.12417,                   2.02,                  3.552,                 2.7677,              0.0093565,              0.0093565,              0.0093565
                     28,                 1.2685,                 1.1338,                 1.9076,                0.89165,                0.88235,                0.94375,                0.68471,                 1.1457,                 1.4265,                  1.838,              0.0093317,              0.0093317,              0.0093317
                     29,                 1.2591,                 1.0852,                 1.9601,                0.96751,                0.88235,                0.94512,                0.64907,                 1.2923,                 1.1009,                 1.9938,               0.009307,               0.009307,               0.009307
                     30,                 1.2985,                  1.107,                 1.9303,                0.99001,                0.94118,                0.95197,                0.64568,                 1.2457,                0.84949,                 2.0199,              0.0092823,              0.0092823,              0.0092823
                     31,                 1.2709,                 1.0793,                 1.8495,                      1,                0.87047,                0.96575,                0.65803,                 1.1266,                 1.0671,                 1.8974,              0.0092575,              0.0092575,              0.0092575
                     32,                 1.2023,                 1.0391,                 1.8767,                0.98877,                0.94118,                0.94558,                0.66353,                 1.2311,                 1.0034,                 1.9659,              0.0092327,              0.0092327,              0.0092327
                     33,                   1.11,                 0.9232,                 1.7751,                0.92103,                0.88235,                0.96292,                0.67811,                 1.1116,                0.75878,                 1.7903,               0.009208,               0.009208,               0.009208
                     34,                 1.1462,                0.94848,                 1.7861,                0.92735,                0.88235,                0.92357,                 0.6842,                 1.1093,                0.98024,                 1.7896,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.1397,                 1.0095,                  1.776,                0.93756,                0.88333,                0.94376,                0.67612,                 1.0521,                 1.1292,                 1.7417,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.1565,                 1.0175,                 1.7896,                0.98747,                0.94118,                 0.9462,                 0.7037,                 1.0363,                0.80996,                 1.6719,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.1555,                0.99214,                 1.7939,                0.98232,                0.88235,                0.93104,                0.69343,                 1.0309,                0.98456,                 1.7346,               0.009109,               0.009109,               0.009109
                     38,                 1.0935,                0.92982,                 1.7254,                0.99171,                0.94118,                0.94917,                0.65971,                 1.2349,                0.91455,                 2.0901,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.0536,                0.89633,                 1.7259,                      1,                0.94026,                0.94615,                0.69155,                 1.0781,                0.97945,                 1.6964,              0.0090595,              0.0090595,              0.0090595
                     40,                  1.013,                0.83197,                 1.6765,                0.98765,                0.94118,                0.94661,                  0.722,                  1.012,                0.80227,                 1.7066,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.0495,                0.85636,                 1.6649,                      1,                0.99221,                  0.995,                0.73382,                0.96981,                0.84811,                 1.6714,                0.00901,                0.00901,                0.00901
                     42,                 1.0685,                0.85262,                 1.6864,                      1,                0.87825,                0.95296,                0.70039,                 1.0676,                0.77772,                 1.7968,              0.0089853,              0.0089853,              0.0089853
                     43,                0.99997,                0.82015,                  1.647,                0.93235,                0.94118,                0.94266,                0.68014,                 1.1543,                0.83517,                 1.9774,              0.0089605,              0.0089605,              0.0089605
                     44,                  1.005,                0.82746,                 1.6317,                0.94006,                0.94118,                 0.9645,                0.72341,                0.93288,                0.63248,                 1.6625,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.0292,                0.82274,                 1.6373,                      1,                0.86972,                0.97529,                 0.7325,                0.93131,                0.69212,                 1.6619,               0.008911,               0.008911,               0.008911
                     46,                0.96705,                0.80616,                  1.609,                0.99155,                0.88235,                0.89666,                0.66445,                 1.0642,                0.90701,                 1.7545,              0.0088863,              0.0088863,              0.0088863
                     47,                0.97178,                0.78077,                 1.5954,                0.98553,                0.82353,                0.88464,                0.69161,                0.92842,                0.78802,                  1.644,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.0604,                0.89487,                 1.7424,                0.93523,                0.94118,                 0.9441,                0.68935,                 1.0434,                0.99296,                 1.7737,              0.0088368,              0.0088368,              0.0088368
                     49,                0.99504,                0.83314,                 1.6371,                0.93857,                0.82353,                0.94723,                0.64821,                 1.2059,                 1.3191,                 1.9773,               0.008812,               0.008812,               0.008812
                     50,                0.97455,                0.80749,                  1.608,                 0.9917,                0.94118,                0.96271,                0.72033,                0.99706,                0.68903,                  1.715,              0.0087872,              0.0087872,              0.0087872
                     51,                0.96669,                0.76275,                  1.583,                0.99416,                0.94118,                0.94704,                0.77044,                0.89351,                0.62714,                 1.6302,              0.0087625,              0.0087625,              0.0087625
